	id	title	genre	runtime	release_dt	budget	us_boxoffice_gross	mpaa_rating	user_rating	total_votes	critic_score
1240	13438	Fast Lane	Action, Drama	74	22 January 2014	$5,000,000	440	R	3.7	440	0
1241	13443	Boston Girls	Comedy, Horror, Thriller	90	2010 	$1,200,000	191	Not Rated	2.4	191	0
1242	13446	Nothing Special	Comedy, Drama	100	2010 	$200,000	164	Not Rated	3.9	164	0
1243	13448	Immigration Tango	Comedy	92	17 April 2010	$1,100,000	$0.02M	R	3.4	298	28
1244	13455	Zombiechrist	Horror	100	27 October 2010	$5,000	175	Empty	2.4	175	0
1245	13456	Presidents Day	Comedy, Crime, Horror	80	15 February 2010	$5,000	287	Empty	4.2	287	0
1246	13458	Obselidia	Drama	103	22 January 2010	$500,000	261	Not Rated	6.8	261	0
1247	13464	Dreamkiller	Thriller	110	19 February 2010	$2,500,000	$0.02M	R	5.1	104	0
1248	13470	Upside	Drama	90	5 October 2010	$300,000	155	Empty	5.7	155	0
1249	13474	Drones	Comedy	98	23 January 2010	$500,000	468	R	6.4	468	0
1250	13476	Beware	Horror	94	November 2010 	$75,000	315	Empty	3.9	315	0
1251	13487	Ninjas vs. Vampires	Action, Comedy, Fantasy	89	22 August 2011	$15,000	456	Not Rated	2.9	456	0
1252	13495	Guilt & Sentence	Drama, Mystery, Thriller	93	18 June 2010	$27,000	584	PG-13	8.1	584	0
1253	13505	15 Till Midnight	Drama, Mystery, Sci-Fi	97	19 April 2016	$27,000	241	R	2.8	241	0
1254	13506	Ashes	Horror, Sci-Fi, Thriller	95	9 September 2010	$900,000	248	TV-MA	4.7	248	0
1255	13510	Unrequited	Drama, Thriller	115	8 January 2016	$500,000	328	Empty	4.7	328	0
1256	13523	Hellweek	Horror	102	5 January 2010	$14,000	210	Not Rated	2.2	210	0
1257	13526	Mr. Hush	Horror	85	23 October 2010	$200,000	346	Empty	2.2	346	0
1258	13533	Below the Beltway	Comedy	96	23 April 2010	$350,000	167	Not Rated	4.5	167	0
1259	13535	One Too Many Mornings	Comedy, Drama	90	January 2010 	$150,000	104	Not Rated	6.5	104	0
1260	13538	New Low	Comedy, Romance	82	January 2010 	$2,000	193	Not Rated	6.7	193	0
1261	13551	Jelly	Comedy, Romance	104	2010 	$1,500,000	107	Empty	5.5	107	0
1262	13581	Eyes in the Dark	Horror, Sci-Fi, Thriller	77	25 April 2010	$5,000	324	Empty	4.5	324	0
1263	13583	Krews	Action, Crime, Drama	105	March 2010 	$900,000	198	TV-MA	5.9	198	0
1264	13587	Rent a Car	Comedy	105	19 December 2010	$45,000	144	Empty	1.9	144	0
1265	13591	Stricken	Thriller	90	27 July 2010	$1,000,000	175	Empty	3.5	175	0
1266	13594	Evidence of a Haunting	Drama, Fantasy, Horror	80	5 September 2010	$25,000	$0.05M	Empty	2.9	70	0
1267	13598	Problem Child: Leslie Jones	Comedy	60	2 February 2010	$1,000,000	134	Empty	5.7	134	0
1268	13602	Nic & Tristan Go Mega Dega	Family	77	8 June 2010	$500,000	128	G	5.3	128	0
1269	13609	A Buddy Story	Romance	84	2010 	$1,000,000	122	TV-PG	5.5	122	0
1270	13612	Westbrick Murders	Action, Crime, Thriller	90	11 May 2010	$3,000,000	345	R	2.7	345	0
1271	13613	The Brazen Bull	Thriller	85	9 November 2010	$1,000,000	201	R	3.9	201	0
1272	13623	Pickin & Grinnin	Comedy	108	17 April 2010	$1,500,000	117	R	6.3	117	0
1273	13625	Surprise, Surprise	Drama	83	31 August 2010	$200,000	134	Not Rated	4.9	134	0
1274	13646	Hell Is Full	Horror	97	26 June 2010	$2,500	121	Not Rated	4.6	121	0
1275	13667	Walkaway	Comedy, Drama	97	29 October 2010	$150,000	798	Unrated	7.7	798	0
1276	13671	On a Dark and Stormy Night	Horror, Thriller	80	9 April 2013	$30,000	189	Not Rated	1.9	189	0
1277	13674	2 Frogs dans lOuest	Biography, Comedy, Drama	105	8 October 2010	 450,000	196	Not Rated	6.3	196	0
1278	13677	Urgency	Action	90	23 January 2015	$200,000	201	Empty	2.4	201	0
1279	13691	Ghetto Physics	Drama	94	8 October 2010	$500,000	$0.01M	R	5.9	59	42
1280	13695	All American Zombie Drugs	Adventure, Comedy, Crime	99	23 April 2013	$200,000	208	PG-13	3.5	208	0
1281	13719	When Soldiers Cry	Action, War	120	2 February 2010	$8,000	242	Empty	2.4	242	0
1282	13736	Biophage	Horror	72	January 2010 	$10,000	100	Not Rated	3.2	100	0
1283	13739	300 Killers	Action, Horror, Thriller	75	7 December 2010	$10,000	152	Not Rated	2.1	152	0
1284	13746	The Feed	Horror	73	31 October 2010	$15,000	175	TV-14	3.5	175	0
1285	13768	Attack of the Vegan Zombies!	Horror	77	17 February 2010	$35,000	106	Not Rated	3.5	106	0
1286	13784	Rage	Action, Drama, Horror	85	1 May 2010	$47,000	151	Empty	4.3	151	0
1287	13790	Ghosts Dont Exist	Horror	99	14 March 2010	$250,000	372	Empty	3.4	372	0
1288	13845	Consinsual	Drama	93	24 June 2010	$50,000	122	R	3.9	122	0
1289	13996	Paradise Recovered	Drama	96	October 2010 	$115,000	208	Not Rated	7.1	208	0
1290	14003	Hitlers Grave	Drama	90	21 October 2011	2,300,000	358	R	7.3	358	0
1291	14119	23	Action, Comedy	104	29 June 2010	$3,000	132	Empty	7.1	132	0
1292	14833	Evil Intent	Thriller	74	1 December 2010	$2,000	$0.01M	Empty	7.2	21	0
1293	15354	Thor	Action, Adventure, Fantasy	115	6 May 2011	$150,000,000	$181.03M	PG-13	7.0	592351	57
1294	15355	Harry Potter and the Deathly Hallows: Part 2	Adventure, Drama, Fantasy	130	15 July 2011	$125,000,000	$381.01M	PG-13	8.1	614271	87
1295	15356	Captain America: The First Avenger	Action, Adventure, Sci-Fi	124	22 July 2011	$140,000,000	$176.65M	PG-13	6.9	568294	66
1296	15357	Drive	Crime, Drama	100	16 September 2011	$15,000,000	$35.06M	R	7.8	477596	78
1297	15358	Green Lantern	Action, Adventure, Sci-Fi	114	17 June 2011	$200,000,000	$116.60M	PG-13	5.6	236711	39
1298	15359	Moneyball	Biography, Drama, Sport	133	23 September 2011	$50,000,000	$75.61M	PG-13	7.6	303999	87
1299	15360	Crazy, Stupid, Love.	Comedy, Drama, Romance	118	29 July 2011	$50,000,000	$84.35M	PG-13	7.4	407296	68
1300	15361	The Girl with the Dragon Tattoo	Crime, Drama, Mystery	158	21 December 2011	$90,000,000	$102.52M	R	7.8	358819	71
1301	15362	Rise of the Planet of the Apes	Action, Drama, Sci-Fi	105	5 August 2011	$93,000,000	$176.76M	PG-13	7.6	443572	68
1302	15363	Bridesmaids	Comedy, Romance	125	13 May 2011	$32,500,000	$169.11M	R	6.8	233172	75
1303	15364	The Help	Drama	146	10 August 2011	$25,000,000	$169.71M	PG-13	8.1	353732	62
1304	15365	Warrior	Drama, Sport	140	9 September 2011	$25,000,000	$13.66M	PG-13	8.2	367780	71
1305	15366	Pirates of the Caribbean: On Stranger Tides	Action, Adventure, Fantasy	136	20 May 2011	$250,000,000	$241.07M	PG-13	6.6	412113	45
1306	15367	In Time	Action, Sci-Fi, Thriller	109	28 October 2011	$40,000,000	$37.52M	PG-13	6.7	326253	53
1307	15368	Midnight in Paris	Comedy, Fantasy, Romance	94	10 June 2011	$17,000,000	$56.82M	PG-13	7.7	330134	81
1308	15369	X: First Class	Action, Adventure, Sci-Fi	131	3 June 2011	$160,000,000	$146.41M	PG-13	7.8	564485	65
1309	15370	Hugo	Adventure, Drama, Family	126	23 November 2011	$150,000,000	$73.86M	PG	7.5	265746	83
1310	15371	Just Go with It	Comedy, Romance	117	11 February 2011	$80,000,000	$103.03M	PG-13	6.4	186847	33
1311	15372	Immortals	Action, Drama, Fantasy	110	11 November 2011	$75,000,000	$83.50M	R	6.0	145575	46
1312	15373	We Need to Talk About Kevin	Drama, Mystery, Thriller	112	21 October 2011	$7,000,000	$1.74M	R	7.5	109602	68
1313	15374	Source Code	Mystery, Romance, Sci-Fi	93	1 April 2011	$32,000,000	$54.71M	PG-13	7.5	417954	74
1314	15375	Sucker Punch	Action, Fantasy	110	25 March 2011	$82,000,000	$36.39M	PG-13	6.1	208680	33
1315	15376	Limitless	Mystery, Sci-Fi, Thriller	105	18 March 2011	$27,000,000	$79.25M	PG-13	7.4	457290	59
1316	15377	Friends with Benefits	Comedy, Romance	109	22 July 2011	$35,000,000	$55.80M	R	6.6	294410	63
1317	15378	Hanna	Action, Drama, Thriller	111	8 April 2011	$30,000,000	$40.26M	PG-13	6.8	167250	65
1318	15379	I Am Number Four	Action, Adventure, Sci-Fi	109	18 February 2011	$60,000,000	$55.10M	PG-13	6.1	206487	36
1319	15380	Super 8	Mystery, Sci-Fi, Thriller	112	10 June 2011	$50,000,000	$127.00M	PG-13	7.0	304967	72
1320	15381	Real Steel	Action, Drama, Family	127	7 October 2011	$110,000,000	$85.47M	PG-13	7.1	269433	56
1321	15382	Horrible Bosses	Comedy, Crime	98	8 July 2011	$35,000,000	$117.54M	R	6.9	376873	57
1322	15383	No Strings Attached	Comedy, Romance	108	21 January 2011	$25,000,000	$70.66M	R	6.2	182987	50
1323	15384	Cars 2	Animation, Adventure, Comedy	106	24 June 2011	$200,000,000	$191.45M	G	6.2	118244	57
1324	15385	The Lincoln Lawyer	Crime, Drama, Thriller	118	18 March 2011	$40,000,000	$58.01M	R	7.3	185559	63
1325	15386	Conan the Barbarian	Action, Adventure, Fantasy	113	19 August 2011	$90,000,000	$21.30M	R	5.2	86155	36
1326	15387	The Twilight Saga: Breaking Dawn - Part 1	Adventure, Drama, Fantasy	117	18 November 2011	$110,000,000	$281.29M	PG-13	4.9	194126	45
1327	15388	Mission: Impossible - Ghost Protocol	Action, Adventure, Thriller	132	21 December 2011	$145,000,000	$209.40M	PG-13	7.4	390597	73
1328	15389	Scream 4	Horror, Mystery	111	15 April 2011	$40,000,000	$38.18M	R	6.2	111083	52
1329	15390	Fast Five	Action, Crime, Thriller	130	29 April 2011	$125,000,000	$209.84M	PG-13	7.3	308956	66
1330	15391	War Horse	Drama, War	146	25 December 2011	$66,000,000	$79.88M	PG-13	7.2	126131	72
1331	15392	Youre Next	Horror, Thriller	95	23 August 2013	$1,000,000	$18.47M	R	6.5	71330	66
1332	15393	The Smurfs	Animation, Adventure, Comedy	103	29 July 2011	$110,000,000	$142.61M	PG	5.5	72289	30
1333	15394	Sherlock Holmes: A Game of Shadows	Action, Adventure, Crime	129	16 December 2011	$125,000,000	$186.85M	PG-13	7.5	367233	48
1334	15395	Paul	Adventure, Comedy, Sci-Fi	104	18 March 2011	$40,000,000	$37.41M	R	7.0	206432	57
1335	15396	Transformers: Dark of the Moon	Action, Adventure, Sci-Fi	154	29 June 2011	$195,000,000	$352.39M	PG-13	6.3	347211	42
1336	15397	The Thing	Horror, Mystery, Sci-Fi	103	14 October 2011	$38,000,000	$16.93M	R	6.2	102946	49
1337	15398	One Day	Drama, Romance	107	19 August 2011	$15,000,000	$13.84M	PG-13	7.0	117238	48
1338	15399	Contagion	Drama, Thriller	106	9 September 2011	$60,000,000	$75.66M	PG-13	6.6	190615	70
1339	15400	Unknown	Action, Mystery, Thriller	113	18 February 2011	$30,000,000	$63.69M	PG-13	6.9	222675	56
1340	15401	The Double	Action, Crime, Drama	98	28 October 2011	$13,500,000	25,518	PG-13	5.9	25517	37
1341	15402	Cowboys & Aliens	Action, Sci-Fi, Thriller	119	29 July 2011	$163,000,000	$100.24M	PG-13	6.0	183923	50
1342	15403	Gnomeo & Juliet	Animation, Comedy, Family	84	11 February 2011	$36,000,000	$99.97M	G	6.0	45513	53
1343	15404	The Tree of Life	Drama, Fantasy	139	17 May 2011	$32,000,000	$13.30M	PG-13	6.8	147061	85
1344	15405	The Descendants	Comedy, Drama	115	9 December 2011	$20,000,000	$82.58M	R	7.3	214477	84
1345	15406	Battle Los Angeles	Action, Sci-Fi	116	11 March 2011	$70,000,000	$83.55M	PG-13	5.8	161110	37
1346	15407	Bad Teacher	Comedy	92	24 June 2011	$20,000,000	$100.29M	R	5.7	170547	47
1347	15408	A Dangerous Method	Biography, Drama, Romance	99	10 November 2011	15,000,000	$5.70M	R	6.5	87389	76
1348	15409	The Three Musketeers	Action, Adventure, Romance	110	21 October 2011	$75,000,000	$20.38M	PG-13	5.8	94026	35
1349	15410	The Ides of March	Drama, Thriller	101	7 October 2011	$12,500,000	$40.96M	R	7.1	199445	67
1350	15411	Zookeeper	Comedy, Family, Romance	102	8 July 2011	$80,000,000	$80.36M	PG	5.2	48491	30
1351	15412	Margin Call	Drama, Thriller	107	29 September 2011	$3,500,000	$5.35M	R	7.1	100135	76
1352	15413	Footloose	Comedy, Drama, Music	113	14 October 2011	$24,000,000	$51.80M	PG-13	5.9	40302	58
1353	15414	50/50	Comedy, Drama, Romance	100	30 September 2011	$8,000,000	$35.01M	R	7.7	286781	72
1354	15415	The Adjustment Bureau	Romance, Sci-Fi, Thriller	106	4 March 2011	$50,200,000	$62.50M	PG-13	7.1	212870	60
1355	15416	Johnny English Reborn	Action, Adventure, Comedy	101	21 October 2011	$45,000,000	$8.31M	PG	6.3	96246	46
1356	15418	The Adventures of Tintin	Animation, Action, Adventure	107	21 December 2011	$135,000,000	$77.59M	PG	7.4	189081	68
1357	15419	J. Edgar	Biography, Crime, Drama	137	11 November 2011	$35,000,000	$37.31M	R	6.6	109465	59
1358	15420	The Grey	Action, Adventure, Drama	117	27 January 2012	$25,000,000	$51.58M	R	6.8	215504	64
1359	15421	Your Highness	Adventure, Comedy, Fantasy	102	8 April 2011	$49,900,000	$21.60M	R	5.5	89404	31
1360	15422	The Green Hornet	Action, Comedy, Crime	119	14 January 2011	$120,000,000	$98.78M	PG-13	5.8	142613	39
1361	15423	Priest	Action, Fantasy, Horror	87	13 May 2011	$60,000,000	$29.14M	PG-13	5.7	102614	41
1362	15424	Take Me Home Tonight	Comedy, Drama, Romance	97	4 March 2011	$23,000,000	$6.92M	R	6.3	46235	42
1363	15425	Love	Drama, Music, Sci-Fi	84	7 September 2012	$4,500,000	7,902	Not Rated	5.6	7902	0
1364	15426	Like Crazy	Drama, Romance	86	27 January 2012	$250,000	$3.41M	PG-13	6.7	51863	68
1365	15428	The Artist	Comedy, Drama, Romance	100	20 January 2012	$15,000,000	$44.67M	PG-13	7.9	203876	89
